Date,Close
2019-12-04,13.34
2019-12-05,13.33
2019-12-06,13.94
2019-12-09,14.09
2019-12-10,13.89
2019-12-11,13.9
2019-12-12,14.23
2019-12-13,13.71
2019-12-16,13.18
2019-12-17,13.48
2019-12-18,13.61
2019-12-19,13.36
2019-12-20,11.92
2019-12-23,11.81
2019-12-24,11.89
2019-12-26,11.43
2019-12-27,11.14
2019-12-30,11.24
2019-12-31,11.41
2020-01-02,10.82
2020-01-03,10.74
2020-01-06,10.79
2020-01-07,11.13
2020-01-08,11.1
2020-01-09,10.85
2020-01-10,10.72
2020-01-13,10.72
2020-01-14,10.91
2020-01-15,10.5
2020-01-16,10.46
2020-01-17,10.5
2020-01-21,9.95
2020-01-22,9.97
2020-01-23,9.69
2020-01-24,9.4
2020-01-27,9.09
2020-01-28,9.18
2020-01-29,9.32
2020-01-30,9.4
2020-01-31,9.07
2020-02-03,9.03
2020-02-04,9.12
2020-02-05,9.49
2020-02-06,9.44
2020-02-07,9.06
2020-02-10,9.01
2020-02-11,9.17
2020-02-12,9.12
2020-02-13,8.97
2020-02-14,8.79
2020-02-18,8.82
2020-02-19,9.2
2020-02-20,9.27
2020-02-21,9.43
2020-02-24,9.14
2020-02-25,8.5
2020-02-26,8.26
2020-02-27,7.77
2020-02-28,8.02
2020-03-02,8.27
2020-03-03,7.91
2020-03-04,8.05
2020-03-05,7.44
2020-03-06,7.08
2020-03-09,6.03
2020-03-10,6.62
2020-03-11,5.99
2020-03-12,5.07
2020-03-13,5.42
2020-03-16,5.32
2020-03-17,5.58
2020-03-18,4.9
2020-03-19,5.28
2020-03-20,5.29
2020-03-23,5.44
2020-03-24,5.95
2020-03-25,5.87
2020-03-26,6.11
2020-03-27,5.78
2020-03-30,5.82
2020-03-31,6.31
2020-04-01,6.39
2020-04-02,6.14
2020-04-03,5.96
2020-04-06,6.35
2020-04-07,6.46
2020-04-08,6.76
2020-04-09,6.81
2020-04-13,6.81
2020-04-14,6.86
2020-04-15,6.55
2020-04-16,6.51
2020-04-17,6.79
2020-04-20,6.59
2020-04-21,6.69
2020-04-22,6.51
2020-04-23,6.71
2020-04-24,6.82
2020-04-27,7.28
2020-04-28,7.54
2020-04-29,8
2020-04-30,7.68
2020-05-01,7.51
2020-05-04,8.3
2020-05-05,8.06
2020-05-06,7.99
2020-05-07,8.07
2020-05-08,8.54
2020-05-11,8.2
2020-05-12,7.78
2020-05-13,7.23
2020-05-14,7.24
2020-05-15,7.17
2020-05-18,7.61
2020-05-19,7.66
2020-05-20,7.92
2020-05-21,7.48
2020-05-22,7.37
2020-05-26,8
2020-05-27,8.53
2020-05-28,8.27
2020-05-29,8.04
2020-06-01,8.46
2020-06-02,8.46
2020-06-03,8.69
2020-06-04,9.32
2020-06-05,10.19
2020-06-08,10.92
2020-06-09,10.39
2020-06-10,10.04
2020-06-11,8.33
2020-06-12,9.23
2020-06-15,9.52
2020-06-16,10.47
2020-06-17,9.38
2020-06-18,8.15
2020-06-19,8.11
2020-06-22,8.05
2020-06-23,8
2020-06-24,7.45
2020-06-25,7.58
2020-06-26,7.16
2020-06-29,7.28
2020-06-30,7.22
2020-07-01,6.88
2020-07-02,7.07
2020-07-06,7.12
2020-07-07,6.93
2020-07-08,6.81
2020-07-09,6.71
2020-07-10,7.36
2020-07-13,7.3
2020-07-14,7.82
2020-07-15,8.05
2020-07-16,8.05
2020-07-17,7.7
2020-07-20,7.58
2020-07-21,7.99
2020-07-22,7.95
2020-07-23,7.93
2020-07-24,7.89
2020-07-27,8.1
2020-07-28,7.54
2020-07-29,7.74
2020-07-30,7.36
2020-07-31,6.66
2020-08-03,6.87
2020-08-04,7.13
2020-08-05,7.32
2020-08-06,7.13
2020-08-07,7.26
2020-08-10,7.89
2020-08-11,7.68
2020-08-12,7.93
2020-08-13,7.64
2020-08-14,7.79
2020-08-17,7.87
2020-08-18,7.93
2020-08-19,7.9
2020-08-20,7.93
2020-08-21,7.51
2020-08-24,7.86
2020-08-25,7.82
2020-08-26,7.87
2020-08-27,7.7
2020-08-28,7.96
2020-08-31,7.83
2020-09-01,7.8
2020-09-02,7.81
2020-09-03,7.68
2020-09-04,7.88
2020-09-08,7.46
2020-09-09,7.39
2020-09-10,7.3
2020-09-11,7.2
2020-09-14,7.4
2020-09-15,7.52
2020-09-16,7.76
2020-09-17,8.41
2020-09-18,8.82
2020-09-21,7.96
2020-09-22,7.45
2020-09-23,7.17
2020-09-24,7.07
2020-09-25,7.11
2020-09-28,7.58
2020-09-29,7.36
2020-09-30,7.34
2020-10-01,7.48
2020-10-02,7.65
2020-10-05,7.83
2020-10-06,7.67
2020-10-07,8.47
2020-10-08,8.53
2020-10-09,8.36
2020-10-12,8.36
2020-10-13,8.33
2020-10-14,8.56
2020-10-15,8.66
2020-10-16,8.96
2020-10-19,8.99
2020-10-20,8.83
2020-10-21,8.92
2020-10-22,9.36
2020-10-23,9.95
2020-10-26,9.61
2020-10-27,10.07
2020-10-28,9.35
2020-10-29,9.83
2020-10-30,9.66
2020-11-02,9.85
2020-11-03,9.96
